dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.9701739850869926,0.9493793864347759,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.0,,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,2,0.9701739850869926,0.9506247634360336,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,2,0.9643744821872411,0.9407679387323237,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,2,0.9569179784589892,0.9317996418140961,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.8003314001657,0.7099916575655146,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.7986743993371996,0.7083738448376463,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.7995028997514498,0.7092842640175709,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.7945318972659486,0.7048681587128791,0.0,0.0,0.0,0.0,81940,1066516,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,prototype,task/sector/prototype/none,sector,none,hybrid_hdc:task/sector/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.7390223695111847,0.6331008933172693,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.7390223695111847,0.632389613857681,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.7398508699254349,0.634457867304645,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.7431648715824358,0.6379669171578835,0.0,0.0,0.0,0.0,81940,1142292,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,prototype,task/scan/prototype/none,scan,none,hybrid_hdc:task/scan/prototype/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.9312344656172328,0.884148005286481,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.0,,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.9287489643744822,0.8793000304436063,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.9287489643744822,0.8825138333410341,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.9254349627174814,0.873317907481239,0.0,0.0,0.0,0.0,163880,1142292,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,linear,task/scan/linear/none,scan,none,hybrid_hdc:task/scan/linear/none
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,2,0.7423363711681856,0.6541666034234774,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.0,,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,2,0.7456503728251864,0.6578649871979124,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,2,0.7448218724109362,0.6555819115843144,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,2,0.7448218724109362,0.6554164081734617,0.0,0.0,0.0,0.0,81940,2010644,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,prototype,task/scan/prototype/record,scan,record,hybrid_hdc:task/scan/prototype/record
