dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.9395194697597349,0.9036546373410191,0.0,0.0,0.0,0.0,41000,217088,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.7844063792085056,0.6232231086885558,0.0,0.0,0.0,0.0,41000,217088,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,512,188.0,0.0,0,0.0,2,0.7531010041346722,0.609553790350909,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,4096.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,2,0.6190194920259894,0.5345130262838498,0.0,0.0,0.0,0.0,81940,2949120,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,4096.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,2,0.7129356172474897,0.600416289541349,0.0,0.0,0.0,0.0,81940,868352,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,4096.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.9577464788732394,0.9284807045977127,0.0,0.0,0.0,0.0,1311040,868352,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,2,0.8493797991730656,0.7048250888564545,0.0,0.0,0.0,0.0,1311040,868352,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.9701739850869926,0.9493793864347759,0.0,0.0,0.0,0.0,163880,868352,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,4096.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,2,0.8186650915534555,0.6639421300952834,0.0,0.0,0.0,0.0,163880,868352,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,4096.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,2048,188.0,0.0,0,0.0,2,0.7531010041346722,0.609553790350909,0.0,0.0,0.0,0.0,3620,0,f288d40,180.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,2,0.9403479701739851,0.9017509929326735,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,2048,2048.0,0.0,0,0.0,2,0.6278795038393384,0.552086697127856,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.7348798674399337,0.6683215722621592,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.7123449497932663,0.6007737794813994,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.9635459817729909,0.9366869035526184,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.8564678086237448,0.7238587985778053,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.9776304888152444,0.9616906062503698,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,2,0.8192557590076787,0.6645364150036148,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
