dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,2,0.8795180722891566,0.8790319294170384,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,2,0.7951807228915663,0.7920938710412394,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0500030517578125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,2,0.6987951807228916,0.6883466982564851,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.1000518798828125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,2,0.8292682926829268,0.8283978618280944,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,2,0.8170731707317073,0.8159887462213045,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0500030517578125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,2,0.6951219512195121,0.6860319990711964,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.1000518798828125,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.963855421686747,0.9622694122694122,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,2,0.963855421686747,0.9622694122694122,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0500030517578125,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,2,0.9518072289156626,0.950924232900977,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.1000518798828125,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.9390243902439024,0.93931475029036,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,prototype,1.0,hdc_k1
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,2,0.9512195121951219,0.9508933635847986,0.0,0.0,0.0,0.0,16400,217088,2cb4d3c,,False,0,none,none,32,0.0500030517578125,skip,hdc_k1,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,prototype,1.0,hdc_k1
