dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,4,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.01,4,0.7473073736536868,0.6330248242397332,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.05,4,0.7257663628831814,0.6172787811066176,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,4,0.700082850041425,0.5971791203349622,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,4,0.6454018227009114,0.5532000138374946,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,4,0.52029826014913,0.4653988848712324,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,4,0.9204639602319801,0.8848809755523929,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.01,4,0.9188069594034797,0.8815206642005557,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.05,4,0.8989229494614748,0.8570205483831852,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.1,4,0.8823529411764706,0.8343854036500744,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.2,4,0.8351284175642087,0.7734177419041228,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.4,4,0.7514498757249378,0.6754604734645591,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,4,0.724109362054681,0.6589389604260927,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.01,4,0.724109362054681,0.6589628109404704,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.05,4,0.7249378624689312,0.6589454919133922,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,4,0.7183098591549296,0.6493857698780152,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,4,0.7174813587406794,0.6485258804493643,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,4,0.7149958574979287,0.6391474642386253,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
