dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,noise_kind,theory_ber,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.05,0,0.8233904311872415,0.6791602414387964,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0178375244140625,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.1,0,0.8216184288245718,0.6780975032169911,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0334930419921875,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.2,0,0.8086237448316598,0.6662540181646601,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.082794189453125,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9461474730737366,0.919585466533585,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_linear,k16_noise,ber,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.01,0,0.0,0,0.9411764705882353,0.9110610628067064,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_linear,k16_noise,ber,0.01,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.9130074565037283,0.8726431282735113,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_linear,k16_noise,ber,0.05,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.8790389395194698,0.8263680931252969,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_linear,k16_noise,ber,0.1,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,128,0.0,0,0.8169014084507042,0.7561966337276098,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_linear,k16_noise,burst,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,512,0.0,0,0.14415907207953604,0.139465202503615,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_linear,k16_noise,burst,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.05,0,0.9063794531897266,0.8638298937415773,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.01776123046875,hdc_linear,k16_noise,plr,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.1,0,0.8682684341342171,0.8143123439211799,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.03302001953125,hdc_linear,k16_noise,plr,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.2,0,0.7837613918806959,0.7223541182537511,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.082305908203125,hdc_linear,k16_noise,plr,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8050797401063201,0.643807421579594,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_linear,k16_noise,ber,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.01,0,0.0,0,0.7956290608387477,0.6373896843358108,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_linear,k16_noise,ber,0.01,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.7731836975782634,0.6206442838464499,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_linear,k16_noise,ber,0.05,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.7336089781453042,0.5921257005064857,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_linear,k16_noise,ber,0.1,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,128,0.0,0,0.6969875959834613,0.5571679490429037,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_linear,k16_noise,burst,,1024.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,512,0.0,0,0.19196692262256349,0.17318990917609695,0.0,0.0,0.0,0.0,41000,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_linear,k16_noise,burst,,1024.0,linear,1.0,hdc_linear
